LivesIn,Count
"Accokeek, MD",1
"Ann Arbor, MI",4
"Atlanta, GA",2
"Austin, TX",1
"Boston, MA",2
"Boston, VA",1
"Charleston, SC",1
"Columbia, IL",1
"Council Bluffs, IA",1
"Dallas, TX",2
"East Brunswick, NJ",1
"Frankfort, MI",1
"Indialantic, FL",1
"Kissimmee, FL",1
"Leawood, KS",1
"Lilburn, GA",1
"Lino Lakes, MN",1
"London, United Kingdom",2
"Mechanicsburg, PA",1
"Mexico City, Mexico",1
"Miami, FL",1
"Milwaukee, WI",2
"Moultonborough, NH",1
"New Orleans, LA",1
"New York, NY",1
"Newark, NJ",3
"Ocala, FL",1
"Orlando, FL",1
"Pennsylvania, United States",6
"Pittsburgh, PA",2
"Plymouth, MA",1
"Portland, OR",1
"Prince Edward, Canada",1
"Pullman, WA",1
"Red Lion, PA",1
"Richmond, RI",3
"Somerville, MA",1
"State College, PA",1
"Telluride, CO",1
"Tyler, TX",1
"Washington, DC",2
"Waukesha, WI",1
"Woodstock, NY",1
"Wrightsville, PA",1
"York, PA",1
