LivesIn,count
"Pennsylvania, United States",2
"Atlanta, GA",2
"Newark, NJ",2
"Washington, DC",2
"Boston, MA",2
"Pittsburgh, PA",2
"Milwaukee, WI",2
"Portland, OR",1
"Prince Edward, Canada",1
"Somerville, MA",1
"Ocala, FL",1
"Mexico City, Mexico",1
"Charleston, SC",1
"Red Lion, PA",1
"Austin, TX",1
"Lino Lakes, MN",1
"Accokeek, MD",1
"Columbia, IL",1
"Wrightsville, PA",1
"Mechanicsburg, PA",1
"Plymouth, MA",1
"Tyler, TX",1
"Boston, VA",1
"Telluride, CO",1
"State College, PA",1
"New Orleans, LA",1
"Moultonborough, NH",1
"Kissimmee, FL",1
"Richmond, RI",1
"Dallas, TX",1
"London, United Kingdom",1
"Lilburn, GA",1
"Pullman, WA",1
"Frankfort, MI",1
"Woodstock, NY",1
"Leawood, KS",1
"Ann Arbor, MI",1
"York, PA",1
"Waukesha, WI",1
"Orlando, FL",1
"Indialantic, FL",1
"Council Bluffs, IA",1
"East Brunswick, NJ",1
"Miami, FL",1
"New York, NY",1
